GeneID,GSM3528727,GSM3528728,GSM3528729,GSM3528730,GSM3528731,GSM3528732,GSM3528733,GSM3528734,GSM3528735,GSM3528736,GSM3528737,GSM3528738,GSM3528739,GSM3528740,GSM3528741,GSM3528742,GSM3528743,GSM3528744,GSM3528745,GSM3528746,GSM3528747,GSM3528748
ENSG00000128268,1901,1337,1329,1666,1222,339,314,279,290,311,275,89,260,318,658,309,81,151,128,301,271,214
ENSG00000128271,11,16,22,7,36,8,5,9,3,5,2,8,10,6,13,19,3,5,5,15,10,11
ENSG00000128272,23159,9692,16724,16286,15086,9240,4836,4927,4351,13259,6089,9888,9626,17059,16308,10538,10707,6983,4472,15523,5298,9070
ENSG00000128274,0,1,2,1,2,2,2,0,0,0,10,3,4,0,21,22,0,6,3,21,5,64
ENSG00000128276,0,2,2,1,0,0,1,1,1,0,0,1,2,0,2,5,0,0,0,0,2,0
ENSG00000128283,81,15,31,192,38,26,22,3,15,120,33,358,143,1168,313,157,156,387,286,570,94,205
ENSG00000128284,6,1,6,5,0,14,2,16,3,10,2,18,12,16,43,19,7,11,3,40,35,18
ENSG00000128285,123,86,42,85,79,26,48,10,9,85,144,52,111,321,226,304,26,239,201,70,153,883
ENSG00000128294,999,647,480,678,519,451,196,206,223,631,180,432,538,2515,876,358,1205,1450,1131,1019,558,651
ENSG00000128298,8,14,16,20,23,4,5,6,1,5,1,6,11,19,17,19,11,6,12,3,12,5
ENSG00000128309,873,277,895,745,816,236,169,187,178,660,199,237,613,887,531,259,372,455,319,232,284,376
ENSG00000128310,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000128311,142,29,83,109,89,18,22,11,15,102,32,51,88,174,72,20,67,72,71,37,39,80
ENSG00000128313,15,3,3,2,1,1,0,0,1,1,1,1,1,0,4,0,0,0,1,0,1,0
ENSG00000128322,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ENSG00000128335,624,306,302,547,637,316,89,155,149,538,91,164,210,804,612,322,402,741,454,890,501,579
ENSG00000128340,4,2,7,0,7,0,0,9,1,1,0,4,5,2,10,3,1,0,0,0,4,2
ENSG00000128342,40,22,22,51,20,75,216,7,18,107,16,107,244,708,105,57,37,386,259,43,19,127
ENSG00000128346,759,569,544,520,380,189,134,114,149,179,87,175,254,649,670,441,290,353,237,315,235,263
ENSG00000128383,4,7,9,2,6,3,2,6,0,0,0,9,7,10,2,4,4,4,7,4,11,4
ENSG00000128394,44,26,44,54,26,22,13,10,12,56,21,40,13,42,65,39,6,48,23,62,39,59
ENSG00000128408,18,11,46,40,13,47,36,15,9,69,36,37,4,20,13,42,14,3,3,172,84,11
ENSG00000128422,7,1,4,5,5,36,76,17,2,0,59,9,3,4,11,6,4,0,7,5,4,2
ENSG00000128463,7833,3466,6517,6267,6155,2952,1951,1547,1294,3920,2009,3869,3781,8820,6511,3671,4451,4937,2559,5430,2532,3779
ENSG00000128482,149,197,93,182,88,25,90,19,29,40,64,17,65,208,160,131,24,76,35,282,524,121
ENSG00000128487,18855,14345,14980,18592,14217,4381,2300,3163,3156,2789,2593,4419,9206,35323,13611,1084,3345,13044,11255,5282,5448,8163
ENSG00000128510,47,46,62,67,92,27,524,40,18,77,26,322,97,72,119,33,36,50,68,41,50,124
ENSG00000128512,12813,8984,11286,8099,5140,5329,929,3915,4211,1037,1093,1603,3438,5357,6947,4381,2715,3459,2844,2503,2610,3610
ENSG00000128513,2486,1976,1812,2224,2339,1073,604,546,499,1237,547,737,1171,3001,2452,1143,1345,1740,1174,1604,1460,1187
ENSG00000128519,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,3,0
ENSG00000128524,2562,1456,1946,2308,2284,1049,811,597,669,1612,1233,853,1304,3420,2405,1507,1580,1910,1177,1601,760,1382
ENSG00000128534,3571,2133,3017,3438,3200,1729,955,852,695,1928,981,847,1597,2857,2649,1104,1293,1739,1219,1486,1482,1377
ENSG00000128536,635,409,494,753,194,154,26,125,88,198,76,150,342,882,600,111,282,954,367,660,128,161
ENSG00000128563,2243,1221,1654,2125,1604,631,461,422,458,1282,553,641,850,1747,1709,628,682,1269,771,988,815,915
ENSG00000128564,2327,84,1053,1320,172,229,67,182,513,175,422,271,1002,399,2691,3260,553,585,359,408,352,805
ENSG00000128567,4639,2171,3280,3733,1286,2387,1284,1499,1538,5414,657,1912,1290,5538,2440,729,976,3528,2732,2102,1383,2745
