Gene_ID,metafc,metap,Gene_Symbol,Gene_Description
ENSG00000147257,0.0785782199147186,0.98925931957323,GPC3,glypican 3
ENSG00000147274,-0.0824277519528073,0.688170001382066,RBMX,RNA binding motif protein X-linked
ENSG00000147316,0.0087245972555082,0.949549978103115,MCPH1,microcephalin 1
ENSG00000147324,0.0918460646687155,0.45202590401762,MFHAS1,multifunctional ROCO family signaling regulator 1
ENSG00000147364,0.0213529813401331,0.993564002408916,FBXO25,F-box protein 25
ENSG00000147383,0.226236554023585,0.134655682215145,NSDHL,NAD(P) dependent steroid dehydrogenase-like
ENSG00000147394,0.027819729765371,0.84925948001863,ZNF185,zinc finger protein 185 with LIM domain
ENSG00000147400,-0.133455870714531,0.791886321370396,CETN2,centrin 2
ENSG00000147403,0.216218299510604,0.582973343740506,RPL10,ribosomal protein L10
ENSG00000147408,0.122257851445701,0.989076446657585,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1
ENSG00000147416,-0.0873242090400895,0.949917974542592,ATP6V1B2,ATPase H+ transporting V1 subunit B2
ENSG00000147419,0.0331846510381286,0.986435336761306,CCDC25,coiled-coil domain containing 25
ENSG00000147421,0.0681589959733457,0.858863163841143,HMBOX1,homeobox containing 1
ENSG00000147434,0.607008725084199,0.794883729535648,CHRNA6,cholinergic receptor nicotinic alpha 6 subunit
ENSG00000147437,0.529583497306164,0.917498713118125,GNRH1,gonadotropin releasing hormone 1
ENSG00000147439,-0.0725897092983854,0.836061459829807,BIN3,bridging integrator 3
ENSG00000147454,0.141489230560258,0.795398884487886,SLC25A37,solute carrier family 25 member 37
ENSG00000147457,-0.0319617710128955,0.922203225703352,CHMP7,charged multivesicular body protein 7
ENSG00000147459,-0.26372108771065,0.754008781980302,DOCK5,dedicator of cytokinesis 5
ENSG00000147465,-0.03427363076827,0.685147908147342,STAR,steroidogenic acute regulatory protein
ENSG00000147471,0.0663564244804632,0.926690110356794,PLPBP,pyridoxal phosphate binding protein
ENSG00000147475,-0.137829072448775,0.396368396234537,ERLIN2,ER lipid raft associated 2
ENSG00000147481,0.115520666949175,0.971947418187708,SNTG1,syntrophin gamma 1
ENSG00000147485,-0.300589246561971,0.923468433984564,PXDNL,peroxidasin like
ENSG00000147488,-0.680868331700251,0.348619425366184,ST18,ST18 C2H2C-type zinc finger transcription factor
ENSG00000147509,-0.0649264523074552,0.97618728295489,RGS20,regulator of G protein signaling 20
ENSG00000147526,-0.247150242155995,0.750129312417439,TACC1,transforming acidic coiled-coil containing protein 1
ENSG00000147533,0.0812236236103698,0.869299405914347,GOLGA7,golgin A7
ENSG00000147535,-0.010750856926368,0.992418673166057,PLPP5,phospholipid phosphatase 5
ENSG00000147536,0.035998097444301,0.978079654344246,GINS4,GINS complex subunit 4
ENSG00000147548,-0.00176544707286659,0.999969836919586,NSD3,nuclear receptor binding SET domain protein 3
ENSG00000147570,0.326510538716448,0.945458983609328,DNAJC5B,DnaJ heat shock protein family (Hsp40) member C5 beta
ENSG00000147571,0.720168429863454,,CRH,corticotropin releasing hormone
ENSG00000147576,-0.512252595767051,0.00991638035441409,ADHFE1,alcohol dehydrogenase iron containing 1
ENSG00000147586,0.0178288901821632,0.978388369915641,MRPS28,mitochondrial ribosomal protein S28
ENSG00000147588,0.267475723688723,0.915207391506543,PMP2,peripheral myelin protein 2
ENSG00000147592,-0.0994279554243295,0.888016730837729,LACTB2,lactamase beta 2
ENSG00000147596,0.284417546275086,0.662814495997665,PRDM14,PR/SET domain 14
ENSG00000147601,0.0286369410401424,0.912670694830886,TERF1,telomeric repeat binding factor 1
ENSG00000147604,0.138877484505639,0.914109171990773,RPL7,ribosomal protein L7
ENSG00000147606,-0.0901836663640685,0.870204459038029,SLC26A7,solute carrier family 26 member 7
ENSG00000147614,0.161568814170721,0.953987027989064,ATP6V0D2,ATPase H+ transporting V0 subunit d2
ENSG00000147642,0.0836652557263805,0.726480469699574,SYBU,syntabulin
ENSG00000147649,0.0704835218851707,0.709650303388668,MTDH,metadherin
ENSG00000147650,0.0451932201100794,0.915136153041605,LRP12,LDL receptor related protein 12
ENSG00000147654,-0.0469741869316561,0.971196503385177,EBAG9,estrogen receptor binding site associated antigen 9
